freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.501e+00,5.769e+00,6.100e+02,6.203e+02
1.5,1.452e+01,2.323e+01,3.640e+02,4.017e+02
3.0,1.672e+01,2.642e+01,3.167e+01,7.481e+01
4.6,1.686e+01,2.875e+01,3.050e+02,3.506e+02
6.1,1.502e+01,2.746e+01,1.166e+03,1.209e+03
7.6,1.651e+01,2.549e+01,1.986e+03,2.028e+03
9.1,1.865e+01,2.876e+01,2.567e+03,2.614e+03
10.7,1.847e+01,2.851e+01,3.215e+03,3.262e+03
12.2,1.796e+01,3.101e+01,4.224e+03,4.273e+03
13.7,1.502e+01,3.270e+01,5.273e+03,5.321e+03
15.2,1.618e+01,2.803e+01,6.782e+03,6.826e+03
16.8,1.608e+01,2.661e+01,8.474e+03,8.516e+03
18.3,1.658e+01,3.017e+01,1.064e+04,1.069e+04
19.8,1.663e+01,2.879e+01,1.326e+04,1.330e+04
21.3,1.620e+01,3.032e+01,1.583e+04,1.588e+04
22.8,1.636e+01,3.240e+01,1.836e+04,1.841e+04
24.4,1.616e+01,3.446e+01,2.151e+04,2.156e+04
25.9,1.689e+01,3.311e+01,2.479e+04,2.484e+04
27.4,1.765e+01,3.049e+01,2.737e+04,2.741e+04
28.9,1.972e+01,2.695e+01,3.237e+04,3.242e+04
30.5,2.036e+01,2.845e+01,3.823e+04,3.827e+04
32.0,2.426e+01,2.883e+01,4.484e+04,4.489e+04
33.5,3.299e+01,2.766e+01,5.318e+04,5.325e+04
35.0,4.896e+01,2.771e+01,6.310e+04,6.317e+04
36.5,5.724e+01,3.071e+01,7.330e+04,7.339e+04
38.1,5.275e+01,3.014e+01,8.594e+04,8.602e+04
39.6,4.606e+01,3.400e+01,9.925e+04,9.933e+04
41.1,4.068e+01,3.725e+01,1.181e+05,1.182e+05
42.6,4.510e+01,4.500e+01,1.436e+05,1.437e+05
44.2,5.069e+01,5.204e+01,1.710e+05,1.711e+05
45.7,6.644e+01,6.542e+01,2.142e+05,2.144e+05
47.2,1.015e+02,8.080e+01,2.765e+05,2.767e+05
48.7,1.492e+02,1.170e+02,3.505e+05,3.507e+05
50.3,2.302e+02,1.901e+02,4.565e+05,4.569e+05
51.8,4.135e+02,3.295e+02,6.733e+05,6.741e+05
53.3,1.002e+03,7.360e+02,1.100e+06,1.102e+06
54.8,2.560e+03,1.683e+03,1.875e+06,1.880e+06
56.3,5.361e+03,3.131e+03,2.781e+06,2.789e+06
57.9,9.022e+03,4.688e+03,3.324e+06,3.338e+06
59.4,1.017e+04,6.452e+03,3.239e+06,3.256e+06
60.9,8.690e+03,6.531e+03,2.483e+06,2.498e+06
