freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.855e+01,4.103e+02,3.913e+00,4.328e+02
1.5,2.054e+01,2.443e+02,1.954e+01,2.844e+02
3.0,1.397e+01,2.494e+01,2.055e+01,5.946e+01
4.6,1.395e+01,3.117e+02,2.048e+01,3.461e+02
6.1,1.395e+01,1.234e+03,2.181e+01,1.269e+03
7.6,1.443e+01,1.891e+03,2.215e+01,1.928e+03
9.1,1.478e+01,2.129e+03,2.155e+01,2.165e+03
10.7,1.467e+01,2.927e+03,2.129e+01,2.963e+03
12.2,1.475e+01,4.387e+03,2.492e+01,4.427e+03
13.7,1.533e+01,6.183e+03,2.720e+01,6.226e+03
15.2,1.401e+01,8.147e+03,2.913e+01,8.191e+03
16.8,1.548e+01,1.028e+04,2.528e+01,1.032e+04
18.3,1.670e+01,1.297e+04,2.504e+01,1.301e+04
19.8,1.906e+01,1.577e+04,2.715e+01,1.582e+04
21.3,2.211e+01,1.965e+04,2.491e+01,1.970e+04
22.8,2.700e+01,2.500e+04,2.522e+01,2.505e+04
24.4,4.153e+01,3.204e+04,2.785e+01,3.211e+04
25.9,6.252e+01,4.222e+04,2.761e+01,4.231e+04
27.4,1.100e+02,5.723e+04,3.345e+01,5.737e+04
28.9,1.869e+02,6.780e+04,3.340e+01,6.802e+04
30.5,2.837e+02,8.418e+04,3.258e+01,8.449e+04
32.0,4.166e+02,1.130e+05,2.973e+01,1.134e+05
33.5,6.526e+02,1.580e+05,2.802e+01,1.587e+05
35.0,1.328e+03,2.322e+05,2.743e+01,2.335e+05
36.6,2.497e+03,3.509e+05,2.800e+01,3.534e+05
38.1,3.752e+03,5.909e+05,5.087e+01,5.947e+05
39.6,5.034e+03,9.804e+05,1.013e+02,9.855e+05
41.1,6.266e+03,1.251e+06,1.386e+02,1.257e+06
42.6,6.476e+03,1.116e+06,1.309e+02,1.123e+06
44.2,5.714e+03,7.889e+05,8.367e+01,7.947e+05
45.7,5.026e+03,5.267e+05,5.879e+01,5.318e+05
47.2,4.668e+03,3.589e+05,5.299e+01,3.636e+05
48.7,4.366e+03,2.499e+05,4.815e+01,2.543e+05
50.3,4.065e+03,1.766e+05,4.735e+01,1.807e+05
51.8,4.165e+03,1.335e+05,5.007e+01,1.377e+05
53.3,4.578e+03,1.074e+05,5.054e+01,1.120e+05
54.8,5.027e+03,8.713e+04,5.536e+01,9.221e+04
56.4,5.622e+03,6.937e+04,5.821e+01,7.505e+04
57.9,6.290e+03,5.352e+04,5.904e+01,5.987e+04
59.4,7.057e+03,4.386e+04,7.212e+01,5.098e+04
60.9,8.335e+03,3.686e+04,9.621e+01,4.529e+04
62.4,1.035e+04,3.020e+04,1.236e+02,4.067e+04
64.0,1.327e+04,2.466e+04,1.416e+02,3.807e+04
65.5,1.782e+04,1.888e+04,1.614e+02,3.687e+04
67.0,2.361e+04,1.396e+04,2.360e+02,3.781e+04
68.5,3.013e+04,1.139e+04,2.999e+02,4.183e+04
70.1,3.203e+04,1.162e+04,3.081e+02,4.396e+04
71.6,2.742e+04,1.162e+04,3.049e+02,3.934e+04
73.1,2.577e+04,1.068e+04,3.663e+02,3.681e+04
